town,town_norm,match_type,CITY_NAME_from_master,S_NAME_from_master,town_name_show,TOWN_CODE_11,LON,LAT,dist_km,total_215,独立行政法人　地域医療機能推進機構　大阪みなと中央病院,大阪公立大学医学部附属病院,独立行政法人国立病院機構　大阪医療センター,大阪赤十字病院,多根総合病院,社会福祉法人恩賜財団済生会支部　大阪府済生会中津病院,大阪鉄道病院,公益財団法人田附興風会　医学研究所北野病院,地方独立行政法人大阪府立病院機構　大阪国際がんセンター,株式会社　竹中工務店大阪本店診療所,独立行政法人地域医療機能推進機構　大阪病院,一般財団法人　住友病院,社会福祉法人四天王寺福祉事業団　四天王寺病院,公益財団法人日本生命済生会　日本生命病院,関西電力病院,社会医療法人警和会　大阪警察病院,一般財団法人　大阪府警察職員互助会診療所,医療法人桜峰会　本場診療所,社会医療法人寿会　富永病院,医療法人伯鳳会　大阪中央病院,社会医療法人大道会　森之宮病院,古武診療所,社会医療法人弘道会　なにわ生野病院,阿波座診療所,医療法人エルア会　静波こころの診療所,中村診療所,医療法人弘仁会　まちだ胃腸病院,おおさか内分泌診療所,国家公務員共済組合連合会　大手前病院,社会医療法人警和会　第二大阪警察病院,こころの診療所ハタクリニック,相原アベノ診療所,社会医療法人寿楽会　大野記念病院,医療法人日新会　日新会病院,医療法人日新会　日新会病院_国内居住者・来訪者居住地分析_20240401_20250331 (2),医療法人警和会　大阪警察病院付属人間ドッククリニック,松﨑智彦診療所,社会福祉法人竹井病院　竹井医院,医療法人阪急共栄会　東阪急ビル診療所,医療法人アエバ会　アエバ外科病院,左診療所,多根記念眼科病院,医療法人彰療会　大正病院,心療内科　つばくろ診療所,大西診療所,大阪掖済会病院,一般財団法人　大阪市環境保健協会　附設診療所,特別養護老人ホーム淳風おおさか診療所,医療法人有光会　サトウ病院,医療法人相愛会　相原第二病院,社会福祉法人　石井記念愛染園附属愛染橋病院,阿倍野診療所,医療法人中本会　中本病院,大国さわやか苑診療所,福永診療所,医療法人　水田診療所,医療法人　親和会（財団）　はせがわ診療所,ほくとクリニック病院,大阪薬業健康保険組合　薬業大阪診療所,医療法人大峯会　高山診療所
大阪市中央区上汐一丁目,大阪市中央区上汐一丁目,code_in_car30,大阪市中央区,上汐一丁目,大阪市中央区上汐一丁目,27128004001,135.5179003600248,34.670545610906316,0.9843434753400252,4287.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,256.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,235.0,0.0,0.0,0.0,0.0,0.0,0.0,281.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
大阪市天王寺区上本町三丁目,大阪市天王寺区上本町三丁目,code_in_car30,大阪市天王寺区,上本町三丁目,大阪市天王寺区上本町三丁目,27109001003,135.5211511526168,34.67235084379571,0.9972943796542256,705.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,172.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.0,0.0
大阪市生野区桃谷三丁目,大阪市生野区桃谷三丁目,code_in_car30,大阪市生野区,桃谷三丁目,大阪市生野区桃谷三丁目,27116002003,135.53504995196823,34.65990980870025,1.0129434433204394,10292.0,0.0,0.0,0.0,1637.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,781.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,490.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
大阪市中央区中寺二丁目,大阪市中央区中寺二丁目,code_in_car30,大阪市中央区,中寺二丁目,大阪市中央区中寺二丁目,27128005002,135.5148998909871,34.66826819101909,1.0510405059602166,2198.0,0.0,0.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.0
大阪市天王寺区四天王寺二丁目,大阪市天王寺区四天王寺二丁目,code_in_car30,大阪市天王寺区,四天王寺二丁目,大阪市天王寺区四天王寺二丁目,27109009002,135.519067965721,34.655948279321585,1.0554807170142282,4906.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,409.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,437.0,0.0,0.0,0.0,0.0,903.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
大阪市天王寺区勝山一丁目,大阪市天王寺区勝山一丁目,code_in_car30,大阪市天王寺区,勝山一丁目,大阪市天王寺区勝山一丁目,27109018001,135.52089166085076,34.65518673724019,1.0559224365031388,10196.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1036.0,0.0,0.0,804.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1923.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
大阪市天王寺区勝山四丁目,大阪市天王寺区勝山四丁目,code_in_car30,大阪市天王寺区,勝山四丁目,大阪市天王寺区勝山四丁目,27109018004,135.52594742818596,34.65452841114867,1.0567630811772772,8190.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,503.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1427.0,0.0,0.0,286.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
大阪市天王寺区上汐六丁目,大阪市天王寺区上汐六丁目,code_in_car30,大阪市天王寺区,上汐六丁目,大阪市天王寺区上汐六丁目,27109002006,135.51589960447322,34.65829456045075,1.0588913184747082,3084.0,328.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,414.0,0.0,0.0,301.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
大阪市生野区勝山北二丁目,大阪市生野区勝山北二丁目,code_in_car30,大阪市生野区,勝山北二丁目,大阪市生野区勝山北二丁目,27116003002,135.53180929991143,34.65617239502801,1.0627218503698082,7280.0,0.0,1196.0,0.0,841.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,879.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
大阪市中央区谷町八丁目,大阪市中央区谷町八丁目,code_in_car30,大阪市中央区,谷町八丁目,大阪市中央区谷町八丁目,27128055008,135.5166952255888,34.67063673224952,1.0687644964802274,3183.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,198.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,137.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,197.0
大阪市生野区鶴橋四丁目,大阪市生野区鶴橋四丁目,code_in_car30,大阪市生野区,鶴橋四丁目,大阪市生野区鶴橋四丁目,27116001004,135.5369342184175,34.66388657033675,1.076936103974839,9795.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,491.0,0.0,0.0,0.0,0.0,403.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1094.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
大阪市中央区上本町西三丁目,大阪市中央区上本町西三丁目,code_in_car30,大阪市中央区,上本町西三丁目,大阪市中央区上本町西三丁目,27128002003,135.51927194776752,34.672440185944865,1.0810520154527237,1832.0,0.0,0.0,0.0,146.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,345.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
大阪市天王寺区勝山三丁目,大阪市天王寺区勝山三丁目,code_in_car30,大阪市天王寺区,勝山三丁目,大阪市天王寺区勝山三丁目,27109018003,135.5239508612925,34.654138204722116,1.103252048635092,5491.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,587.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1312.0,0.0,0.0,0.0,0.0,0.0,632.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
大阪市東成区玉津三丁目,大阪市東成区玉津三丁目,code_in_car30,大阪市東成区,玉津三丁目,大阪市東成区玉津三丁目,27115003003,135.53713663189106,34.66638197302839,1.1266519379375637,7070.0,0.0,0.0,0.0,268.0,0.0,0.0,0.0,0.0,0.0,331.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,460.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
大阪市天王寺区上本町二丁目,大阪市天王寺区上本町二丁目,code_in_car30,大阪市天王寺区,上本町二丁目,大阪市天王寺区上本町二丁目,27109001002,135.52089358334965,34.67372835946421,1.148915262708185,4084.0,0.0,0.0,224.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,165.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,195.0,0.0,0.0,0.0,0.0,0.0
大阪市中央区高津一丁目,大阪市中央区高津一丁目,code_in_car30,大阪市中央区,高津一丁目,大阪市中央区高津一丁目,27128008001,135.51305926576762,34.667789905626606,1.1838115770545972,5531.0,0.0,0.0,0.0,149.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,267.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,316.0
大阪市生野区桃谷四丁目,大阪市生野区桃谷四丁目,code_in_car30,大阪市生野区,桃谷四丁目,大阪市生野区桃谷四丁目,27116002004,135.53709379454511,34.65986063885321,1.1849833334132571,9202.0,0.0,0.0,0.0,957.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,514.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,356.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
大阪市中央区中寺一丁目,大阪市中央区中寺一丁目,code_in_car30,大阪市中央区,中寺一丁目,大阪市中央区中寺一丁目,27128005001,135.51506385196015,34.670753428606496,1.1894559970944525,1181.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0
大阪市東成区玉津二丁目,大阪市東成区玉津二丁目,code_in_car30,大阪市東成区,玉津二丁目,大阪市東成区玉津二丁目,27115003002,135.5368933869304,34.668713552147125,1.1937539746863692,26146.0,0.0,0.0,0.0,1183.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,824.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1385.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
大阪市生野区勝山南一丁目,大阪市生野区勝山南一丁目,code_in_car30,大阪市生野区,勝山南一丁目,大阪市生野区勝山南一丁目,27116004001,135.52821477889904,34.653316989664404,1.2213970656336892,9018.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,716.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,431.0,359.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
大阪市生野区鶴橋五丁目,大阪市生野区鶴橋五丁目,code_in_car30,大阪市生野区,鶴橋五丁目,大阪市生野区鶴橋五丁目,27116001005,135.53855803619714,34.66376132060286,1.225672958658316,7051.0,0.0,380.0,0.0,375.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,762.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
大阪市天王寺区勝山二丁目,大阪市天王寺区勝山二丁目,code_in_car30,大阪市天王寺区,勝山二丁目,大阪市天王寺区勝山二丁目,27109018002,135.52022382059022,34.65369215657082,1.2329306574236143,13677.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2149.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,733.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,660.0
大阪市中央区上本町西二丁目,大阪市中央区上本町西二丁目,code_in_car30,大阪市中央区,上本町西二丁目,大阪市中央区上本町西二丁目,27128002002,135.51921994263398,34.67398008469315,1.2345650723563195,4915.0,0.0,0.0,359.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,199.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,388.0,0.0,0.0
大阪市天王寺区下寺町一丁目,大阪市天王寺区下寺町一丁目,code_in_car30,大阪市天王寺区,下寺町一丁目,大阪市天王寺区下寺町一丁目,27109010001,135.5115367663008,34.66304675786797,1.2505577668142631,437.0,30.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
大阪市生野区勝山北三丁目,大阪市生野区勝山北三丁目,code_in_car30,大阪市生野区,勝山北三丁目,大阪市生野区勝山北三丁目,27116003003,135.5342682743912,34.65556506718394,1.2553043882535575,6774.0,0.0,0.0,0.0,479.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,784.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
大阪市中央区谷町七丁目,大阪市中央区谷町七丁目,code_in_car30,大阪市中央区,谷町七丁目,大阪市中央区谷町七丁目,27128055007,135.51619407750297,34.672620758961806,1.260593953051397,13423.0,0.0,0.0,743.0,1219.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,377.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
大阪市東成区東小橋一丁目,大阪市東成区東小橋一丁目,code_in_car30,大阪市東成区,東小橋一丁目,大阪市東成区東小橋一丁目,27115002001,135.5343988359815,34.67247409916025,1.2647882438837277,23050.0,0.0,0.0,625.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,784.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
大阪市天王寺区上本町一丁目,大阪市天王寺区上本町一丁目,code_in_car30,大阪市天王寺区,上本町一丁目,大阪市天王寺区上本町一丁目,27109001001,135.52106287036997,34.67508540990533,1.287269188422416,1210.0,0.0,0.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
大阪市天王寺区四天王寺一丁目,大阪市天王寺区四天王寺一丁目,code_in_car30,大阪市天王寺区,四天王寺一丁目,大阪市天王寺区四天王寺一丁目,27109009001,135.51601347441448,34.65514861406305,1.2925738379154337,15026.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1554.0,0.0,0.0,797.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1286.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
大阪市生野区勝山南二丁目,大阪市生野区勝山南二丁目,code_in_car30,大阪市生野区,勝山南二丁目,大阪市生野区勝山南二丁目,27116004002,135.53095100492823,34.65307954071135,1.3258126144132083,1238.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,197.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
大阪市中央区瓦屋町三丁目,大阪市中央区瓦屋町三丁目,code_in_car30,大阪市中央区,瓦屋町三丁目,大阪市中央区瓦屋町三丁目,27128007003,135.51202859378438,34.66907623596444,1.3264999531068864,8640.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,424.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,635.0,0.0,421.0,0.0
大阪市生野区勝山北四丁目,大阪市生野区勝山北四丁目,code_in_car30,大阪市生野区,勝山北四丁目,大阪市生野区勝山北四丁目,27116003004,135.53635330955152,34.65637952667502,1.3296617305128318,7699.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,313.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,821.0,196.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
